"assetTag","title","brand","model","serial","color","channel","retailer","purchaseCountry","originalPurchaseDate"
"INIU-001","INIU 10,000mAh power bank","INIU","BI-B41","000G21","black","Amazon","Amazon","US","2021-11-12"
"INIU-002","INIU 10,000mAh power bank","INIU","BI-B41","000J21","black","Amazon","Amazon","US","2021-11-12"
"INIU-003","INIU 10,000mAh power bank","INIU","BI-B41","","black","Amazon","Amazon","US","2021-11-12"
"INIU-004","INIU 10,000mAh power bank","INIU","BI-B41","000G21","black","Amazon","Woot","US","2021-11-12"
"ELEC-001","USB desktop keyboard","Sample Electronics","DEMO-1","SAMPLE-1","","","","",""
"ELEC-002","24-inch office monitor","Sample Electronics","DEMO-2","SAMPLE-2","","","","",""
"ELEC-003","USB-C docking station","Sample Electronics","DEMO-3","SAMPLE-3","","","","",""
"ELEC-004","Wireless mouse","Sample Electronics","DEMO-4","SAMPLE-4","","","","",""
"ELEC-005","Ethernet switch","Sample Electronics","DEMO-5","SAMPLE-5","","","","",""
"ELEC-006","USB desktop keyboard","Sample Electronics","DEMO-6","SAMPLE-6","","","","",""
"ELEC-007","24-inch office monitor","Sample Electronics","DEMO-7","SAMPLE-7","","","","",""
"ELEC-008","USB-C docking station","Sample Electronics","DEMO-8","SAMPLE-8","","","","",""
"ELEC-009","Wireless mouse","Sample Electronics","DEMO-9","SAMPLE-9","","","","",""
"ELEC-010","Ethernet switch","Sample Electronics","DEMO-10","SAMPLE-10","","","","",""
"ELEC-011","USB desktop keyboard","Sample Electronics","DEMO-11","SAMPLE-11","","","","",""
"ELEC-012","24-inch office monitor","Sample Electronics","DEMO-12","SAMPLE-12","","","","",""
"ELEC-013","USB-C docking station","Sample Electronics","DEMO-13","SAMPLE-13","","","","",""
"ELEC-014","Wireless mouse","Sample Electronics","DEMO-14","SAMPLE-14","","","","",""
"ELEC-015","Ethernet switch","Sample Electronics","DEMO-15","SAMPLE-15","","","","",""
"ELEC-016","USB desktop keyboard","Sample Electronics","DEMO-16","SAMPLE-16","","","","",""
"ELEC-017","24-inch office monitor","Sample Electronics","DEMO-17","SAMPLE-17","","","","",""
"ELEC-018","USB-C docking station","Sample Electronics","DEMO-18","SAMPLE-18","","","","",""
"ELEC-019","Wireless mouse","Sample Electronics","DEMO-19","SAMPLE-19","","","","",""
"MON-001","Controlled monitoring demonstration unit","RecallOps Test","TEST-PB","MON100","","","","",""
